AIR_FLOW,CEXREAL,NE,PIM,QFIN,THA,THW,soot
322.837975,14.87844944,2375.059523,150.155312,32.37387471,48.60716248,65.89118958,6.455596958
322.7910912,14.8976965,2378.83394,150.357864,32.23910539,48.62998199,66.10139465,6.476299997
325.0919035,14.88064724,2378.781423,150.3778616,32.31462188,48.63529587,66.3765564,6.990992504
325.926373,14.89287701,2379.990353,150.4702508,32.27698534,48.60387802,66.60240936,6.978215964
326.6443384,14.88231564,2388.030549,150.7091152,32.31481568,48.52265549,66.81613159,6.991512741
328.0914738,14.87488996,2385.850411,150.9482281,32.45812531,48.45193481,67.00473022,6.189554628
329.7406732,14.84704511,2396.209079,151.4162348,32.75091509,48.35205078,67.19224548,6.532393811
350.5073418,14.10619831,2403.945395,156.6047164,37.47330183,48.19842529,67.42947388,6.900957761
356.9103316,14.20389577,2413.138844,159.5936512,37.10692816,48.10691833,67.67580414,6.637159297
357.0034736,14.29606342,2426.231726,159.8721376,36.41365532,48.08005524,67.85027313,7.208519719
354.0961188,14.50641823,2427.754935,159.2188544,35.04947488,48.04227628,68.04074305,6.871520823
334.5982593,16.66791725,2420.42079,154.3066327,22.47652755,47.97655487,68.22041321,6.789115047
360.1350737,21,2353.573781,127.320043,-20,47.59520721,68.44498444,6.527248635
345.5257651,21,2301.175596,123.3571116,-20,46.75707626,68.63195801,5.480333418
332.6725683,21,2257.1157,121.3173155,-20,46.07107544,68.86061096,2.156793821
320.2589064,21,2218.473516,118.8789462,-20,45.52874295,68.99645238,1.016950419
230.925767,21,2024.483302,95.20084354,-20,45.06549835,69.12516785,0.570494124
169.1685642,21,1873.804668,81.65518565,-20,44.49635315,69.22612762,0.246195749
116.987371,21,1686.249787,88.13609314,-20,44.40573883,69.34250641,0.099777113
115.8561021,21,1568.176527,90.27833336,-20,45.03825378,69.41430664,0.13405803
113.3835192,21,1543.706177,90.3559494,-20,45.52851105,69.43308258,0.105155178
112.4015489,21,1507.499519,90.93548264,-20,45.83486176,69.48291016,0.100857861
112.9738036,18.07515144,1472.03408,91.10773082,7.123563855,46.06602478,69.52523804,0.057075042
171.191525,7.872811317,1503.29635,98.04395546,47.07857935,46.0328331,69.54388428,0.043175212
321.5500426,5.542601585,1581.994276,143.7805334,95.84781182,45.350811,69.56036377,0.060416061
366.0294424,6.335258007,1695.068012,196.7341748,103.9754813,44.93340302,69.56521606,7.69390734
415.411793,6.082296371,1811.565071,211.2176227,118.2314415,44.91921655,69.62316748,37.40155505
543.3540696,4.662992001,1964.649154,244.2355682,137.8716983,45.06472015,69.69482422,18.95617453
559.4299966,5.060555884,2089.498258,249.218447,130.5246068,44.92573547,69.77415466,18.16564387
570.07902,5.543598231,2209.580612,247.5179473,120.2724519,44.86663437,69.9183197,18.37128456
573.3558214,5.620468616,2323.975218,244.1390419,118.9176709,45.4455719,70.13241577,11.89124937
560.6504723,7.348890305,2404.69653,241.0660017,102.6652352,46.31633823,70.37535449,11.85040648
456.2916422,10.88352946,2426.976339,208.9675492,62.6979942,47.37189865,70.73997498,14.58848004
502.2496253,8.947122574,2495.590286,209.6311697,85.67665416,48.33531952,71.13954926,13.97868057
404.7149177,13.83335876,2476.251414,192.1510939,39.74352738,49.34388733,71.59807587,11.3238074
412.4108279,12.57453918,2503.168935,178.5577444,49.29618621,49.53531647,72.06454468,15.31781794
445.2680923,11.82759166,2529.936218,186.0278383,54.82701373,49.90497208,72.52303314,9.286864337
447.9830867,12.19524288,2549.940577,190.1322205,50.04911838,50.47827911,72.94364166,10.60469659
371.1820667,14.42890549,2540.424548,170.1536656,34.36844853,50.98360443,73.36032104,9.630853805
354.8458647,14.87859805,2534.844367,160.5671847,31.91380744,50.86707306,73.71107483,8.430415485
340.66024,15.04697227,2534.21183,155.8484344,30.52303146,50.6837616,74.05476379,7.370993282
377.7208482,20.61051943,2455.621874,131.5835087,1.979720185,50.42873383,74.42262268,6.563917751
351.2728796,19.27845198,2434.564785,137.7326934,8.301292651,49.77137995,74.69221231,6.245825728
324.7441318,19.3413868,2404.343912,131.2828921,7.697411981,49.68372345,75.03045654,2.808383077
281.6659474,16.32431413,2401.457611,136.522382,24.25748957,49.81433487,75.2041626,1.690094164
290.7195075,16.43110275,2399.159153,139.2549085,23.3157935,50.00841522,75.45173645,1.418457582
314.9497115,19.04743879,2359.663749,131.3227429,9.216574076,50.09842682,75.5740509,3.56065975
280.1115583,16.35255345,2362.581525,136.6769124,23.84679717,50.05793871,75.67151172,4.597090076
286.3241475,16.29801559,2365.951679,138.3074533,23.89998942,50.16944122,75.76733398,2.301386053
283.5855297,16.88390579,2349.365789,137.5192119,20.85194053,50.34387207,75.93331909,3.831017533
321.0768869,19.32542598,2316.502127,128.6533769,8.131804473,50.34968567,76.02606201,4.417477353
315.2058855,19.2696228,2286.766476,128.450531,8.365516082,49.94467545,76.16702271,4.406138232
293.2945855,18.2754612,2266.368475,129.426188,14.05245988,49.73513175,76.23957367,1.988014958
267.0664087,17.26211739,2267.641897,131.8288226,17.67762934,49.62294769,76.34176636,1.233235327
285.8533675,18.70053525,2240.009664,127.1061692,10.19437015,49.58580017,76.46826935,1.378488866
287.0432135,18.96693532,2205.071495,123.8758502,8.498235326,49.55315018,76.54920959,2.676385858
276.5797702,17.29141808,2189.676685,126.5132352,15.73681367,49.35010529,76.6102829,1.622911899
268.4201523,14.62388348,2202.658325,130.5713678,30.35782388,49.39603043,76.6452713,1.152848974
293.9681652,14.12973118,2208.909138,138.9051662,34.51166579,49.53606796,76.73522186,1.411298691
310.5391238,13.56391478,2219.218747,146.4586728,38.54965289,49.56508636,76.82182312,4.184083201
320.0962821,13.03802812,2228.736667,150.3612432,43.11208968,49.60035706,76.83779144,5.075286235
375.2501602,12.1364353,2262.209284,166.8140169,51.22586548,49.63936615,76.94667053,5.342521036
444.4817292,12.58959293,2299.556123,189.9902496,47.76132143,49.53077316,77.05618286,5.726345927
400.2060187,10.66360166,2324.464799,174.8363725,65.51100843,49.30883119,77.14124286,6.520697648
399.5671787,13.12172207,2345.95775,180.1404435,44.27439124,49.21163177,77.28283691,5.644401996
384.4936648,12.83388805,2357.038713,171.0038851,46.86949003,49.19337082,77.39916992,5.436287899
397.003909,13.14373875,2381.200271,174.8986706,43.90165063,49.19731903,77.58380127,4.634986198
371.7359194,14.11368561,2381.835956,168.8564798,39.56438754,49.23954391,77.73847961,4.883963751
364.2570838,14.27201653,2397.57363,164.4649506,38.98010259,49.25185365,77.91080657,5.241097332
364.8834608,14.19282818,2400.325432,163.3938293,38.90848748,49.2244873,78.06837463,4.818908775
363.2313826,14.30638409,2407.585243,163.0967313,38.38934404,49.23600769,78.24170685,5.231765138
358.1344089,14.38563633,2419.859063,162.1721397,37.24601588,49.21928024,78.40897369,5.129320868
357.460398,14.44219017,2418.666927,161.3888948,37.30054278,49.17451477,78.610672,5.397979306
357.8282378,14.58980179,2424.019792,161.0406664,36.85634608,49.13703918,78.78735352,5.385579685
357.8267479,14.57871056,2433.404816,160.7452266,36.49675344,49.12059021,78.95848083,5.533883035
354.6165442,14.68089485,2436.543516,159.9942017,35.65889717,49.19509125,79.14354706,5.312727248
353.7509777,14.86267567,2440.881616,159.0397147,35.07985135,49.27090073,79.30529785,5.217296287
351.6197709,14.88548851,2449.014729,158.327984,34.60996264,49.26647186,79.49453735,5.414959639
352.2254793,14.97618866,2457.097272,158.2866211,34.56595414,49.2738533,79.63929749,5.020409042
351.3229093,14.88548851,2454.813821,158.2190997,34.57941071,49.27125231,79.76375108,5.004759944
350.0329062,14.94224262,2459.97714,157.6246033,34.04108819,49.27796936,79.93650818,5.00271812
349.4274203,15.1472168,2466.040527,157.2396453,33.57652104,49.27931595,80.12794495,5.247989972
345.337522,15.1020956,2473.730566,156.3808562,33.66997394,49.20822906,80.35067749,5.02911371
343.7213286,15.13608074,2469.465895,155.8246778,32.0854482,49.16455078,80.55871582,4.985015675
342.0740802,15.18179893,2472.075105,155.1446147,32.45799323,49.08425081,80.73245492,4.937093117
342.3956922,15.17007542,2475.018889,154.7092286,32.40849042,49.01222229,80.86850739,5.122332091
337.2898379,15.1132288,2478.785195,154.1363977,30.5080921,48.94696045,81.09106445,5.070819799
318.6595719,15.66154671,2474.127506,150.0948468,25.70592945,48.82015228,81.27964783,5.27479495
369.2098035,22.97528839,2395.002265,128.8504801,-20,48.47493744,81.46577454,5.106826744
358.7910653,23.21999931,2360.552252,126.5828907,-20,47.49932861,81.64143372,4.761026971
274.3857495,23.21999931,2075.255966,106.9675447,-20,46.74860382,81.79238892,1.965044866
135.6877424,23.21999931,1850.861301,89.34255653,-20,45.9648056,81.96125793,0.800546557
143.6000303,23.21999931,1871.973278,91.59415583,-20,46.46675491,82.05831909,0.627335469
129.5893845,23.21999931,1571.759877,95.11789868,-20,47.1840744,82.16785431,2.639947877
94.65999939,23.21999931,1152.726563,91.86172485,-20,47.95017242,82.21777344,0.834825296
61.11111069,23.14897189,796.227115,87.41668669,14.00699739,48.43788098,82.22577275,0.380921219
64.88317871,18.90228462,795.2601929,86.56822205,17.72128105,48.38607788,82.24433899,0.192760317
64.47505951,16.43314139,797.1939087,86.44403076,17.73659706,48.12565613,82.24476624,0.100392059
65.26798719,15.41001797,796.9714966,86.24223328,19.07048035,47.8405304,82.25441742,0.23972202
64.92236328,15.1020956,798.7911377,86.18013763,17.56719398,47.54585266,82.34560394,1.946089637
82.75655365,14.96506786,573.762087,99.81379219,71.40277056,47.3202005,82.33766353,3.825905374
110.8673401,7.763929844,850.5751343,98.92489624,-20,46.92243195,82.34742737,5.383797917
62.89319538,13.0536375,797.4586792,84.33283997,16.685009,46.10855103,82.43872833,8.537020069
61.62215042,14.32910728,798.4987793,84.68988037,16.48870087,46.1769104,82.41231537,18.92720436
62.83260401,14.58732029,799.2747126,85.14963048,15.15862903,46.37853622,82.46565247,39.87603484
110.166275,12.40385437,551.8585815,107.9285126,79.1060791,46.34661102,82.4801178,39.73164227
117.3799226,4.062605858,762.1224976,115.053772,91.35743713,45.7609787,82.51242065,34.65911661
141.8666678,6.130333424,907.2406553,118.7603945,65.42336857,44.9455719,82.59950256,27.43386562
148.8253479,6.719205379,1050.493652,121.7444,64.54485321,44.21990204,82.57845306,165.7699961
170.5755157,6.333125591,1181.772586,126.6382173,64.30111585,43.8699379,82.62905121,59.66442983
324.2348357,4.462898731,1446.288452,162.4624329,111.7842484,43.68035126,82.69937897,35.92564382
524.5742373,4.611073971,1858.007462,234.5352335,140.1045449,43.29013096,82.77388822,60.90157889
567.3027698,5.980494976,2207.794371,249.3385849,124.1197981,43.0760498,82.76020813,59.34800589
597.3015813,6.407942772,2502.860891,245.5706169,113.6625111,43.21055603,82.87800598,24.19231187
564.1142717,10.09722519,2642.038929,226.5983357,74.98309616,44.44311523,82.9256897,20.71225435
450.2162917,16.6259594,2562.78877,178.0960132,-4.11520343,46.19723511,83.05106354,20.45334006
373.3675259,11.31216908,1717.960346,166.2768423,108.090305,46.10881207,83.25171393,13.69058787
523.6826996,5.139959812,1873.657233,252.7865042,140.4863889,45.66778564,83.52867889,9.31245637
545.6735621,5.501349449,2034.156599,254.439293,133.9900031,45.94861984,83.7913208,8.172481551
467.1641832,7.774489403,2117.777232,231.0959338,99.77091563,46.23995209,84.07040405,12.51587075
395.7601601,8.533585548,2150.698673,187.3197056,81.44801065,47.09708405,84.37181091,11.44459282
398.9397351,9.581548691,2182.749812,193.4290974,58.76031771,48.10314178,84.65474701,8.780671025
339.9304437,12.6500473,2202.164643,170.0939399,46.49980739,49.16238785,84.97137451,10.83674082
336.9519938,12.71684647,2226.620875,164.0619736,46.92031594,50.06155396,85.34129333,7.565749812
349.0377931,12.75083542,2248.490072,165.6332302,47.36254124,50.97740936,85.715271,6.389025917
357.1078619,12.78425598,2268.890849,168.7041866,46.93057055,51.56140518,85.99327087,6.756645354
364.1681719,13.08770657,2288.07595,169.4990931,47.07269123,51.86221313,86.28514862,6.516084681
373.9888375,13.16627407,2308.18123,171.5624432,46.69635946,51.87887971,86.55167108,5.945122295
377.1485055,13.2784214,2324.636503,172.87976,46.01290458,51.8587265,86.74729919,5.690402589
384.0239411,13.34610176,2343.587656,173.7324677,47.04151482,51.89873505,87.02855682,5.381438864
